{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{ 4.36038735213000*10^-01,   6.88720986589000*10^-01,   5.79252642657000*10^-01}  
{-3.78884634216000*10^-01,  -6.74150245858000*10^-01,   6.34009368988000*10^-01}  
{-6.26498637029000*10^-01,  -7.67947205705000*10^-01,  -1.33253694321000*10^-01}  
{ 4.06186134016000*10^-01,  -8.67091100491000*10^-01,  -2.88384895553000*10^-01}  
{-6.88463910568000*10^-01,  -7.23932272465000*10^-01,  -4.40398538730000*10^-02}  
{ 2.80627074434000*10^-01,   8.05783603711000*10^-01,  -5.21499021174000*10^-01}  
{ 1.53737366665000*10^-01,   6.93561432561000*10^-01,  -7.03802075412000*10^-01}  
{ 1.99365964393000*10^-01,   8.90610414744000*10^-01,   4.08737447992000*10^-01}  
{-1.82049246480000*10^-02,   5.44976834261000*10^-01,  -8.38253440695000*10^-01}  
{-6.81550334668000*10^-01,  -6.90775700315000*10^-01,   2.41491352159000*10^-01}  
{-5.37587823785000*10^-01,  -5.55222292459000*10^-01,  -6.34608176495000*10^-01}  
{ 9.09898303240000*10^-02,   9.71515137830000*10^-01,  -2.18813134307000*10^-01}  
{ 3.79989622671000*10^-01,  -9.22135766524000*10^-01,   7.26189697010000*10^-02}  
{ 5.66597174596000*10^-01,  -2.11384125400000*10^-03,   8.23992216842000*10^-01}  
{ 1.84414097430000*10^-02,   9.44764573460000*10^-01,   3.27230522936000*10^-01}  
{ 3.45814825271000*10^-01,   2.49588326276000*10^-01,   9.04498631292000*10^-01}  
{ 8.74283374514000*10^-01,   4.04576594439000*10^-01,  -2.68228186961000*10^-01}  
{ 3.99802428761000*10^-01,   3.44402780137000*10^-01,   8.49437898255000*10^-01}  
{ 9.63220672283000*10^-01,  -5.72195116450000*10^-02,   2.62548783988000*10^-01}  
{-9.94897296922000*10^-01,   3.57728667940000*10^-02,   9.43380653760000*10^-02}  
{-1.56714993068000*10^-01,  -9.87001810769000*10^-01,  -3.56066916000000*10^-02}  
{-9.27069069789000*10^-01,  -2.25672399208000*10^-01,   2.99357492099000*10^-01}  
{-2.38903394940000*10^-01,  -7.28159342239000*10^-01,  -6.42424423724000*10^-01}  
{-2.37933816645000*10^-01,  -5.65566766505000*10^-01,  -7.89633922474000*10^-01}  
{-4.86829202841000*10^-01,   2.04038379062000*10^-01,  -8.49332483266000*10^-01}  
{ 1.26732104243000*10^-01,  -8.88242067541000*10^-01,   4.41548415470000*10^-01}  
{ 3.80892736307000*10^-01,  -8.40044165098000*10^-01,   3.86324376805000*10^-01}  
{-8.53815222246000*10^-01,   1.94312669544000*10^-01,   4.82951501411000*10^-01}  
{ 7.07500645964000*10^-01,   5.51939817248000*10^-01,   4.41367504577000*10^-01}  
{ 5.93607703844000*10^-01,   4.99787786459000*10^-01,   6.30747225474000*10^-01}  
{-2.10801429753000*10^-01,   5.82844530920000*10^-01,   7.84764302189000*10^-01}  
{-3.59983711124000*10^-01,  -5.42500531109000*10^-01,  -7.59015745207000*10^-01}  
{ 7.01453114467000*10^-01,   6.30255410145000*10^-01,   3.32778674479000*10^-01}  
{-9.28865830610000*10^-01,  -3.49571013193000*10^-01,  -1.22508675043000*10^-01}  
{ 7.77324035743000*10^-01,   5.28910387717000*10^-01,   3.40618768157000*10^-01}  
{ 8.50495590230000*10^-02,  -8.03093446859000*10^-01,  -5.89752056479000*10^-01}  
{ 9.45074862356000*10^-01,  -3.20998366320000*10^-02,  -3.25273892330000*10^-01}  
{ 4.50220156024000*10^-01,  -6.40071342009000*10^-01,   6.22583719871000*10^-01}  
{-7.64580586297000*10^-01,  -6.11730355413000*10^-01,   2.02983987851000*10^-01}  
{-6.25790395419000*10^-01,  -7.78954108935000*10^-01,   4.02104112720000*10^-02}  
{ 8.28464844247000*10^-01,  -4.69545585867000*10^-01,   3.05242435843000*10^-01}  
{ 7.29521302470000*10^-01,   3.25879265903000*10^-01,  -6.01332997013000*10^-01}  
{-4.76309054931000*10^-01,   8.31412475602000*10^-01,  -2.86152021842000*10^-01}  
{-3.42647093809000*10^-01,   7.94999973058000*10^-01,  -5.00567689670000*10^-01}  
{ 3.20489163896000*10^-01,  -6.21788849891000*10^-01,  -7.14608509589000*10^-01}  
{ 9.60498146666000*10^-01,  -1.35366129635000*10^-01,  -2.43144650773000*10^-01}  
{ 3.86201127374000*10^-01,   6.24177240781000*10^-01,  -6.79154961188000*10^-01}  
{ 2.74915339823000*10^-01,   9.55266143783000*10^-01,   1.09032795396000*10^-01}  
{ 4.52380920752000*10^-01,   6.74800989305000*10^-01,  -5.83091011226000*10^-01}  
{ 6.26371644491000*10^-01,   3.05486564804000*10^-01,   7.17172588505000*10^-01}  
{-5.00922220172000*10^-01,  -8.64731207052000*10^-01,   3.62886881540000*10^-02}  
{-2.09390779140000*10^-01,   8.14175055821000*10^-01,   5.41548225083000*10^-01}  
{-8.66060286694000*10^-01,  -4.26592948412000*10^-01,   2.60687621834000*10^-01}  
{-7.57202650894000*10^-01,  -6.04111423775000*10^-01,  -2.48381829333000*10^-01}  
{ 4.74524749904000*10^-01,  -5.41474754428000*10^-01,   6.93996651321000*10^-01}  
{-7.87195563770000*10^-01,   6.15212768795000*10^-01,  -4.28531619930000*10^-02}  
{ 2.82601552833000*10^-01,   9.01178731812000*10^-01,   3.28653701738000*10^-01}  
{ 5.41807304470000*10^-02,  -9.54665655355000*10^-01,  -2.92707934524000*10^-01}  
